id;name;description;customer_id;status;budget;actual_cost;start_date;end_date;created_at;updated_at
567ce39d-f7f5-4cc5-9094-47562d8696a2;Migration Cloud Global Services;Migration infrastructure vers AWS;0934bebc-eb83-4680-bd04-5e816670588c;active;50000;32000;2024-09-01;2025-03-31;2026-07-09T07:55:55.308105+00:00;2026-07-09T07:55:55.308105+00:00
7494438f-24d2-4e09-b718-7d02ee6fbc3b;Refonte site Startup Lab;Refonte complete du site web;7ef4c0eb-e95a-4b4b-be5a-08bfb351f822;active;12000;4500;2024-11-15;2025-02-28;2026-07-09T07:55:55.308105+00:00;2026-07-09T07:55:55.308105+00:00
1c20bfd2-976e-459a-a81e-4064a7474f31;Audit securite ABC;Audit de securite informatique;3294a70a-f9bd-48b6-bc2a-ba1c9957eeef;completed;8000;6500;2024-06-01;2024-08-31;2026-07-09T07:55:55.308105+00:00;2026-07-09T07:55:55.308105+00:00
56d1d714-05dc-413a-b0b2-ce0bdb692c86;Support XYZ;Contrat de support technique;be6104b4-728f-4921-95b9-277250fdc1f0;on_hold;15000;3000;2024-10-01;2025-06-30;2026-07-09T07:55:55.308105+00:00;2026-07-09T07:55:55.308105+00:00
0b34facc-d6ee-418e-8b26-6a84f9cc4758;Migration Cloud Global Services;Migration infrastructure vers AWS;0934bebc-eb83-4680-bd04-5e816670588c;active;50000;32000;2024-09-01;2025-03-31;2026-07-09T10:03:06.535299+00:00;2026-07-09T10:03:06.535299+00:00
dfef2986-00e8-4801-bb9d-d231756c782e;Refonte site Startup Lab;Refonte complete du site web;7ef4c0eb-e95a-4b4b-be5a-08bfb351f822;active;12000;4500;2024-11-15;2025-02-28;2026-07-09T10:03:06.535299+00:00;2026-07-09T10:03:06.535299+00:00
a0a8f6d0-6177-422d-b5f3-2db76e483575;Audit securite ABC;Audit de securite informatique;3294a70a-f9bd-48b6-bc2a-ba1c9957eeef;completed;8000;6500;2024-06-01;2024-08-31;2026-07-09T10:03:06.535299+00:00;2026-07-09T10:03:06.535299+00:00
abaac054-5ffa-4252-9c6a-6bc783957caa;Support XYZ;Contrat de support technique;be6104b4-728f-4921-95b9-277250fdc1f0;on_hold;15000;3000;2024-10-01;2025-06-30;2026-07-09T10:03:06.535299+00:00;2026-07-09T10:03:06.535299+00:00
993d74ac-c666-4701-b520-ba48169e0045;Migration Cloud Global Services;Migration infrastructure vers AWS;0934bebc-eb83-4680-bd04-5e816670588c;active;50000;32000;2024-09-01;2025-03-31;2026-07-09T10:05:09.006374+00:00;2026-07-09T10:05:09.006374+00:00
5e51c4f5-fa36-40b0-a815-54ceca0bd4cb;Refonte site Startup Lab;Refonte complete du site web;7ef4c0eb-e95a-4b4b-be5a-08bfb351f822;active;12000;4500;2024-11-15;2025-02-28;2026-07-09T10:05:09.006374+00:00;2026-07-09T10:05:09.006374+00:00
1b521e88-26ea-4973-a689-2dc6973a415a;Audit securite ABC;Audit de securite informatique;3294a70a-f9bd-48b6-bc2a-ba1c9957eeef;completed;8000;6500;2024-06-01;2024-08-31;2026-07-09T10:05:09.006374+00:00;2026-07-09T10:05:09.006374+00:00
8309accf-9cff-46f9-b7c4-81505a29ae91;Support XYZ;Contrat de support technique;be6104b4-728f-4921-95b9-277250fdc1f0;on_hold;15000;3000;2024-10-01;2025-06-30;2026-07-09T10:05:09.006374+00:00;2026-07-09T10:05:09.006374+00:00
